sid,session,age,grade,fluency,symbolic,nonsymbolic,mixed,stroop,ordinality,number_to_line,line_to_number,add,mult,sub
201267,1,10.9091355528,5.0,0.0,1.0,0.69,0.68,1.0,0.0,0.57,0.55,0.0,0.0,0.0
154571,1,10.6490358131,5.0,0.075,1.0,0.67,0.33,1.0,0.0666666666667,0.74,,0.1,0.0,0.116666666667
102323,1,11.0761816287,5.0,0.0,1.0,0.89,0.77,1.0,0.0666666666667,0.0,0.66,0.0,0.0,0.0
456804,1,10.8160670904,5.0,0.4,1.0,0.16,0.81,1.0,0.366666666667,0.23,0.46,0.6,0.06,0.516666666667
461859,1,,7.0,0.825,1.0,0.75,0.69,1.0,0.477777777778,,0.15,0.84,0.74,0.883333333333
562359,1,,7.0,0.75,1.0,0.6,0.69,1.0,0.4,0.55,0.0,0.86,0.6,0.783333333333
270809,1,,7.0,0.4375,1.0,0.52,0.93,1.0,0.814814814815,0.0,,0.64,0.12,0.533333333333
465434,1,,7.0,0.575,1.0,1.0,0.66,1.0,0.133333333333,1.0,0.54,0.74,0.32,0.65
649110,1,,7.0,0.35625,1.0,0.59,0.65,1.0,0.303703703704,,,0.52,0.0,0.516666666667
422235,1,,7.0,0.60625,1.0,1.0,0.76,1.0,0.792592592593,1.0,0.7,0.78,0.36,0.666666666667
446175,1,,7.0,0.6,1.0,0.41,0.57,1.0,0.72962962963,0.58,0.57,0.74,0.4,0.65
954611,1,,7.0,0.0,1.0,0.57,0.41,1.0,0.588888888889,0.31,0.15,0.0,0.0,0.0
892520,1,,7.0,0.0,1.0,0.6,0.68,1.0,0.540740740741,0.0,,0.0,0.0,0.0
611623,1,,7.0,0.0,1.0,0.6,0.77,1.0,0.962962962963,0.81,0.38,0.0,0.0,0.0
267667,1,,7.0,0.3125,1.0,0.69,0.73,1.0,0.614814814815,0.93,0.63,0.5,0.0,0.416666666667
698271,1,,7.0,0.375,1.0,0.87,0.62,1.0,0.103703703704,,0.63,0.58,0.04,0.483333333333
375297,1,,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.0,0.0,0.0
972702,4,,,,,,,,,,,0.0,0.0,0.0
572942,1,,,0.0,0.64,,0.07,,0.037037037037,1.0,0.62,0.0,0.0,0.0
576463,1,7.22371327244,2.0,0.1375,0.07,0.77,0.07,0.6,0.0,0.07,,0.0,0.0,0.0
824438,2,,8.0,0.28125,0.65,0.55,0.32,0.64,0.307407407407,0.7,0.48,0.0,0.0,0.0
296680,1,11.4430279261,5.0,0.49375,1.0,0.48,0.6,0.0,0.437037037037,0.14,0.58,0.0,0.0,0.0
